name,number,id,path,description,aliases,courseQuality,professorQuality,difficulty,amountLearned,workRequired,RecommendToMajor,RecommendToNonMajor,numberReviewers
ADVANCED DIGITAL PHOTO,null,42796,/courses/42796,In this studio course students will become proficient in advanced techniques of image production while expanding their artistic process and refining their photographic work. With an emphasis on self-directed projects and research students will further their knowledge of image control and manipulation retouching and collage advanced color management; become familiar with high-end equipment and develop professional printing skills. Class discussion lectures and assigned readings will address the critical issues in contemporary art media and photographic culture. Emphasis will be on integrating practice and critical dialogue.,[FNAR-349 -- FNAR-649],3.33,3.56,2.63,3.13,3.13,2.63,3.13,9
TRAVEL TRADE AND WAR IN THE MODERN MEDITERRANEAN,null,38744,/courses/38744,,[HIST-206],2.82,3.09,2.5,-1.0,2.9,-1.0,-1.0,11
STUDY OF A GENRE: GOTHIC,null,44052,/courses/44052,This is an introduction to literary study through the works of a compelling literary theme. The theme's function within specific historical contexts within literary history generally and within contemporary culture are likely to be emphasized. Some versions of this course will also serve as an introduction to other members of the English faculty who will visit the class as guest lecturers. This course is designed for the General Requirement and is ideal for the students wishing to take an English course but not necessarily intending to major.,[ENGL-102],2.89,3.37,2.73,-1.0,3.27,-1.0,-1.0,19
WRITING SEMINAR IN PHIL: DIGITAL ART,null,39455,/courses/39455,This writing seminar focuses on a scholarly inquiry in the field of Philosophy the study of the nature and theory of reality existence and knowledge. It will introduce students to scholarly conversations on a specific topic in this discipline as a basis for understanding discipline- and profession-based writing. This includes types of reasoning evidence citation practices and other means of creating testing and sharing knowledge with diverse audiences. Throughout students are introduced to new writing situations as a means of sharpening their skills and learning how to be adaptive effective writers.,[WRIT-073],2.42,3.67,1.5,-1.0,2.92,-1.0,-1.0,12
ILIAD IN TIME OF WAR,null,39758,/courses/39758,Homer's Iliad presents a dark and difficult vision of the world but one that nonetheless inspires. Casual cruelty divine caprice and savage violence test heroes and lesser people and provoke a reckoning with the stark realities of both human vulnerability and capability. It inspires a kind of terror but still also somehow provides a kind of comfort albeit one whose character seems almost beyond comprehension. By a close and careful reading of Homer's text along with some reflections and readings drawn from more contemporary wars including the current ones we will try to examine these issues with one eye on the past and one on the present. Our goal will be to achieve some further understanding of war and human experience.,[CLST-331],3.5,4.0,2.17,-1.0,2.17,-1.0,-1.0,14
MEDICINE AND THE LANGUAGE OF PAIN,null,43705,/courses/43705,Pain can be a particularly complex and morally charged object of biomedicine. The interiority of pain- the deeply private nature of pain experience- complicates its communication. Pain particularly its chronic form defies purely biological explanation troubling fundamental biomedical distinctions between mind and body subject and object. And decisions about analgesia are fraught as doctors and patients pursue relief from pain amidst a widespread epidemic of opiate abuse that infuses their interaction with concerns about addiction drug seeking culpability and responsibility. This seminar seeks to shed light on these issues by using concepts from linguistic and medical anthropology to explore how we experience think about and talk about pain. As an interdisciplinary endeavor the course is of relevance not only to anthropology but also to medical sociology medical ethics public health health policy and science and technology studies.,[ANTH-332],3.75,3.75,2.5,-1.0,2.25,-1.0,-1.0,4
INTRODUCTION TO MICRO ECONOMICS,null,44008,/courses/44008,Introduction to economic analysis and its application. Theory of supply and demand costs and revenues of the firm under perfect competition monopoly and oligopoly pricing of factors of production income distribution and theory of international trade. Econ 1 deals primarily with microeconomics.,[ECON-001],2.6,2.88,2.59,-1.0,2.3,-1.0,-1.0,80
MLA Proseminar: The Shakespeare Variations,null,39892,/courses/39892,In the 16th and 17th centuries it was an almost universally held belief that women should never rule over men. However the existence of three regnant queens Mary Tudor Mary Stuart and Elizabeth I inescapably belied this central principle of social order. How did men and women of the period reconcile themselves to female rule or did they? How did queens construct their public personae in order to maintain Their power? What portrayals of ruling women were employed by queens'opponents? How do political ideologists conflicting religious beliefs adn the pressure of dynastic struggle effect the question of female rule?,[ENGL-430],4.0,4.0,2.5,-1.0,2.5,-1.0,-1.0,4
Sustainable Initiatives in Higher Education,null,35699,/courses/35699,In 2007 Penn became one of the first universities in the country to commit to creating a more sustainable campus. President Amy Gutmann's press release on February 7 2005 announced that Penn would develop a comprehensive sustainability plan by 2009. In President Gutmann's speech she stated that Penn's sustainability plan would Include completing a comprehensive inventory of all its greenhouse gas emissions; purchasing at least 15 percent of its electricity from renewable sources; adopting an energy efficient appliance purchasing program; committing to a policy that new construction be built to the US Green Building Council LEED Silver standards or equivalent; and providing access to public transit for faculty students and staff.,[ENVS-494],3.44,3.56,2.17,-1.0,2.14,-1.0,-1.0,9
BASIC PRINCIPLES OF NURSE ANESTHESIA PRACTICE,null,45233,/courses/45233,,[NURS-629],2.79,2.88,3.26,3.0,3.25,1.83,3.29,24
MUSIC MAKERS: HAYDN AND MOZART,null,37590,/courses/37590,Courses under this number will treat composer performers and performance. Courses will include a class on Haydn and Mozart (formerly 027;); Beethoven (Formerly 028; and Mahler (formerly 025).,[MUSC-034],2.88,3.38,2.43,-1.0,2.14,-1.0,-1.0,8
INTERMEDIATE PUNJABI II,null,36445,/courses/36445,This course is designed as a continuation of Beginning Punjabi but can also be taken by anyone who can demonstrate a similar level in proficiency of the language. The course objectives are to expand the mastery of sentence patterns and augment vocabulary and its usage through intensive grammar review and comprehension exercises. A special emphasis will also be placed on greater cultural awareness. Upon completion of this course students should be able to interact socially with added confidence and greater expressiveness. Students should also experience a great improvement in their comprehension of the spoken and written language.,[PUNJ-425],4.0,4.0,2.0,-1.0,2.0,-1.0,-1.0,3
